,Open,High,Low,Close,TotalVolume
2016-01-04,359.5,360.0,350.5,352.0,170742
2016-01-05,352.75,356.0,351.75,353.5,131944
2016-01-06,353.5,354.75,350.25,353.25,124626
2016-01-07,353.25,354.25,348.5,353.0,137217
2016-01-08,353.0,357.75,352.75,357.25,166509
2016-01-11,357.0,357.25,349.5,351.75,160600
2016-01-12,352.0,363.75,349.5,355.5,279985
2016-01-13,356.0,360.75,355.5,358.0,199960
2016-01-14,357.75,360.25,355.5,357.75,151878
2016-01-15,358.0,363.5,356.0,363.25,169957
2016-01-19,364.0,369.5,364.0,367.75,204664
2016-01-20,367.5,369.25,365.25,369.25,180893
2016-01-21,368.75,372.0,365.5,366.25,231438
2016-01-22,366.75,371.5,366.5,370.0,154633
2016-01-25,370.0,372.5,368.0,369.5,141452
2016-01-26,369.25,372.0,367.0,368.75,156481
2016-01-27,368.75,371.0,367.5,369.0,165294
2016-01-28,368.75,370.25,365.0,365.25,166081
2016-01-29,365.25,372.5,365.0,371.5,201067
2016-02-01,371.0,371.75,367.75,371.5,129482
2016-02-02,371.25,373.75,369.0,372.75,190794
2016-02-03,372.0,373.25,370.25,371.0,143067
2016-02-04,371.0,373.5,368.0,368.75,169624
2016-02-05,369.0,369.5,365.5,365.5,211509
2016-02-08,366.0,367.0,361.5,362.5,205741
2016-02-09,362.25,362.75,359.25,361.25,240978
2016-02-10,361.0,361.75,359.25,360.25,129184
2016-02-11,360.0,363.25,358.5,361.0,200743
2016-02-12,361.0,362.0,358.25,359.0,169831
2016-02-16,359.75,363.5,359.0,362.75,188054
2016-02-17,362.75,367.5,362.0,367.25,146548
2016-02-18,367.0,368.0,365.25,365.75,214189
2016-02-19,365.25,367.5,364.75,366.5,178425
2016-02-22,366.5,369.25,366.25,367.75,189448
2016-02-23,367.0,367.25,361.5,362.0,103274
2016-02-24,366.5,367.75,363.75,364.25,214472
2016-02-25,364.5,366.5,360.0,360.75,215581
2016-02-26,360.75,361.5,357.5,360.25,192746
2016-02-29,360.0,361.75,356.75,357.5,139323
2016-03-01,357.0,358.75,355.75,356.0,155830
2016-03-02,355.75,357.5,355.0,355.75,132738
2016-03-03,356.0,357.5,354.5,356.75,143954
2016-03-04,356.5,360.75,356.0,358.75,175180
2016-03-07,361.0,362.25,358.25,358.75,154247
2016-03-08,358.5,362.5,356.0,360.0,166840
2016-03-09,360.0,361.5,357.25,359.0,151413
2016-03-10,359.0,363.5,358.0,362.25,177496
2016-03-11,362.0,365.25,362.0,364.25,119443
2016-03-14,366.0,369.25,365.5,368.25,150999
2016-03-15,367.75,369.25,366.25,368.25,100363
2016-03-16,367.75,368.5,366.0,367.75,95523
2016-03-17,368.25,372.0,366.5,367.75,185594
2016-03-18,368.0,369.25,366.0,366.75,87647
2016-03-21,366.5,370.0,365.75,369.25,99786
2016-03-22,369.0,371.75,368.75,369.5,138744
2016-03-23,369.75,370.0,366.0,369.0,116948
2016-03-24,368.75,370.25,367.25,369.75,130500
2016-03-28,369.5,372.0,367.75,371.25,118077
2016-03-29,370.5,373.0,368.5,373.0,149699
2016-03-30,372.5,374.0,366.75,367.0,194110
2016-03-31,366.75,367.25,347.5,350.5,501024
2016-04-01,351.75,354.5,347.25,353.5,249205
2016-04-04,353.75,355.0,350.75,354.25,168365
2016-04-05,354.5,357.0,353.5,357.0,192268
2016-04-06,356.75,359.0,355.0,358.0,159620
2016-04-07,357.75,362.0,357.5,361.5,254631
2016-04-08,361.5,362.75,359.0,361.75,205689
2016-04-11,362.0,362.25,356.0,357.25,230482
2016-04-12,357.0,365.5,356.75,363.25,320117
2016-04-13,363.0,374.75,363.0,373.75,368844
2016-04-14,373.0,374.5,369.75,374.0,277581
2016-04-15,373.5,380.5,372.0,377.25,281613
2016-04-18,375.25,384.0,375.0,381.25,208559
2016-04-19,380.0,386.0,380.0,384.5,262913
2016-04-20,389.5,400.75,388.25,400.5,296688
2016-04-21,399.0,407.25,388.5,388.75,339711
2016-04-22,389.0,389.25,374.5,374.75,302721
2016-04-25,374.75,389.5,372.0,383.75,271354
2016-04-26,382.0,387.75,378.5,387.0,218178
2016-04-27,386.75,387.75,381.5,384.0,177248
2016-04-28,383.75,395.25,382.5,391.75,230446
2016-04-29,390.75,395.25,388.25,392.0,119379
2016-05-02,390.25,392.25,385.25,392.25,143400
2016-05-03,391.75,395.0,377.0,379.25,237343
2016-05-04,379.75,382.0,376.25,376.25,180626
2016-05-05,376.75,379.5,371.25,374.0,167007
2016-05-06,373.75,379.0,373.5,377.0,115170
2016-05-09,378.25,381.0,368.25,368.25,162012
2016-05-10,368.75,386.0,368.0,379.75,257074
2016-05-11,380.75,383.25,375.25,377.75,162641
2016-05-12,378.0,389.25,377.5,389.0,182840
2016-05-13,388.5,391.25,385.25,390.75,144151
2016-05-16,390.25,394.25,386.25,393.5,154137
2016-05-17,392.5,398.0,391.75,397.75,179577
2016-05-18,397.0,400.5,394.0,397.75,173975
2016-05-19,397.5,397.75,385.5,389.0,219481
2016-05-20,390.0,396.75,389.0,394.75,170591
2016-05-23,394.0,399.25,391.0,398.0,145355
2016-05-24,397.25,403.25,394.5,396.5,149817
2016-05-25,396.5,405.0,395.75,405.0,154496
2016-05-26,404.0,409.25,400.0,408.75,206335
2016-05-27,408.0,413.5,406.5,413.25,163607
2016-05-31,412.5,413.0,404.0,405.0,186133
2016-06-01,404.25,414.0,401.0,413.75,186024
2016-06-02,413.75,419.5,412.5,413.75,208340
2016-06-03,414.0,419.25,410.5,419.0,168767
2016-06-06,419.75,427.5,419.25,427.25,204277
2016-06-07,426.25,428.0,422.5,427.5,246313
2016-06-08,427.25,439.25,426.5,429.0,318439
2016-06-09,430.25,430.25,423.25,427.25,240028
2016-06-10,426.5,437.0,420.0,424.0,270445
2016-06-13,427.5,438.0,427.5,430.25,279636
2016-06-14,429.5,436.75,423.5,436.5,219399
2016-06-15,435.75,439.0,428.5,428.75,175235
2016-06-16,426.25,429.75,420.5,425.0,182611
2016-06-17,425.0,438.25,423.5,437.75,166751
2016-06-20,435.5,435.75,420.5,420.75,189368
2016-06-21,420.5,422.25,396.25,397.25,259718
2016-06-22,396.5,401.0,392.25,392.25,177162
2016-06-23,392.0,392.75,384.0,387.5,132070
2016-06-24,387.5,390.0,373.5,385.25,146844
2016-06-27,384.25,392.0,383.0,385.75,88353
2016-06-28,383.0,398.25,382.5,385.25,94347
2016-06-29,389.0,390.75,377.25,377.75,128647
2016-06-30,379.75,382.25,360.25,369.0,177476
2016-07-01,367.5,368.75,358.75,360.25,104162
2016-07-05,356.25,356.5,341.0,350.0,130524
2016-07-06,350.75,352.5,339.0,342.5,105374
2016-07-07,342.75,353.75,340.5,341.0,97260
2016-07-08,343.0,355.75,342.0,355.5,89363
2016-07-11,360.0,360.75,344.0,349.0,85693
2016-07-12,349.0,355.0,342.5,351.75,118120
2016-07-13,353.25,367.5,352.0,362.75,113068
2016-07-14,362.0,373.0,355.5,356.25,97230
2016-07-15,356.5,361.0,343.0,352.25,94753
2016-07-18,352.25,357.5,348.25,357.0,76199
2016-07-19,356.5,356.5,341.5,343.5,76193
2016-07-20,344.25,346.5,335.0,338.0,97473
2016-07-21,337.75,341.75,332.75,333.25,81201
2016-07-22,334.5,336.75,326.75,336.5,90163
2016-07-25,335.0,338.25,330.25,335.0,71073
2016-07-26,333.5,336.5,331.0,332.75,77792
2016-07-27,332.5,338.0,331.75,335.5,69348
2016-07-28,335.75,338.5,329.0,332.5,71896
2016-07-29,331.25,335.0,328.75,333.75,88261
2016-08-01,332.5,333.75,325.5,326.25,71733
2016-08-02,325.25,327.5,319.5,324.5,99512
2016-08-03,323.75,328.75,322.25,325.75,74391
2016-08-04,325.0,326.75,320.5,320.5,70903
2016-08-05,320.5,325.0,320.0,323.75,117914
2016-08-08,324.25,328.0,322.5,325.75,127260
2016-08-09,325.25,326.75,322.0,322.75,95944
2016-08-10,322.0,325.5,321.25,322.5,128910
2016-08-11,322.25,323.75,320.5,320.75,104000
2016-08-12,320.5,323.0,312.0,323.0,130151
2016-08-15,321.25,329.0,321.0,327.75,62327
2016-08-16,326.75,329.0,324.25,328.25,63273
2016-08-17,337.0,340.0,336.0,339.75,136366
2016-08-18,339.5,343.0,336.25,343.0,122939
2016-08-19,342.25,344.25,340.0,344.0,141167
2016-08-22,343.25,344.0,340.0,343.25,115881
2016-08-23,342.0,342.25,335.25,337.5,149386
2016-08-24,337.0,339.5,334.5,336.5,136900
2016-08-25,336.0,337.75,331.25,332.25,161656
2016-08-26,332.0,334.0,324.5,325.25,182144
2016-08-29,325.0,327.25,320.0,321.0,229264
2016-08-30,320.75,322.0,315.5,315.75,250998
2016-08-31,315.75,319.5,314.75,315.25,185380
2016-09-01,315.5,325.0,315.0,323.5,185682
2016-09-02,323.75,329.75,323.5,328.75,150729
2016-09-06,327.75,329.5,323.25,327.0,138040
2016-09-07,327.5,334.0,326.25,333.75,140237
2016-09-08,333.5,338.75,332.5,338.0,138416
2016-09-09,338.0,342.0,334.5,340.0,136808
2016-09-12,340.5,343.25,335.5,340.25,184506
2016-09-13,339.25,341.5,329.5,330.25,157119
2016-09-14,330.0,332.25,326.5,332.25,120331
2016-09-15,331.5,334.75,327.5,329.25,121670
2016-09-16,329.0,338.25,327.5,336.25,149705
2016-09-19,337.25,340.0,332.25,337.25,128809
2016-09-20,336.0,342.25,335.0,339.5,116501
2016-09-21,339.0,341.0,338.0,339.0,91913
2016-09-22,339.25,341.5,334.75,336.25,112766
2016-09-23,336.0,338.5,333.75,335.25,137998
2016-09-26,334.0,336.5,328.5,328.75,147822
2016-09-27,329.25,332.5,327.25,332.0,137152
2016-09-28,331.75,332.5,328.75,329.75,96550
2016-09-29,329.75,333.5,328.0,329.25,106191
2016-09-30,329.0,337.5,325.0,336.25,243764
2016-10-03,336.25,347.75,335.25,346.0,218596
2016-10-04,345.0,349.0,343.5,348.0,143473
2016-10-05,347.75,349.25,345.25,347.5,129277
2016-10-06,347.25,347.75,338.5,341.0,169206
2016-10-07,340.75,344.75,339.5,339.75,163326
2016-10-10,339.5,344.25,339.25,343.0,102103
2016-10-11,343.0,347.0,341.0,345.5,137172
2016-10-12,345.0,348.5,336.5,337.25,202555
2016-10-13,337.5,349.75,337.25,349.75,205775
2016-10-14,349.5,358.75,348.75,353.5,260826
2016-10-17,353.0,357.75,350.25,354.5,136376
2016-10-18,354.25,357.5,351.5,353.5,130049
2016-10-19,353.5,358.0,351.0,358.0,153689
2016-10-20,357.5,359.25,349.25,350.75,160824
2016-10-21,351.25,354.25,350.5,352.25,104696
2016-10-24,351.5,354.5,346.25,348.75,141194
2016-10-25,348.25,352.25,347.25,349.75,111220
2016-10-26,349.25,355.75,349.0,354.5,153884
2016-10-27,353.75,358.5,352.25,357.75,182647
2016-10-28,357.5,358.25,354.25,355.25,109642
2016-10-31,355.0,358.0,352.25,354.5,153915
2016-11-01,354.75,354.75,347.25,348.75,199043
2016-11-02,348.75,350.5,344.25,346.75,202990
2016-11-03,346.25,348.75,345.0,348.25,123458
2016-11-04,348.0,349.75,345.5,348.0,108935
2016-11-07,348.0,349.5,345.0,346.5,173465
2016-11-08,346.0,356.5,345.0,353.5,317077
2016-11-09,353.0,355.0,340.5,341.25,298665
2016-11-10,341.5,346.5,340.25,342.25,242268
2016-11-11,343.25,345.0,339.0,340.75,185905
2016-11-14,340.5,341.0,335.5,337.0,165799
2016-11-15,337.0,342.25,335.75,342.0,173657
2016-11-16,341.5,343.5,338.5,339.75,125827
2016-11-17,339.0,343.5,338.25,342.0,169583
2016-11-18,342.0,346.75,340.5,346.0,151473
2016-11-21,345.25,350.0,344.75,350.0,142810
2016-11-22,349.5,351.75,346.0,351.25,161984
2016-11-23,350.25,351.0,346.5,350.5,152562
2016-11-25,349.75,350.75,348.5,349.0,146522
2016-11-28,349.25,353.0,346.75,348.75,178024
2016-11-29,357.5,357.75,348.0,348.0,266258
2016-11-30,349.0,353.0,347.75,348.5,149332
2016-12-01,348.5,349.75,341.75,343.25,172425
2016-12-02,344.0,347.75,343.0,347.0,118595
2016-12-05,347.0,359.75,347.0,358.25,203854
2016-12-06,358.0,364.0,357.5,359.0,167220
2016-12-07,359.25,360.5,356.0,358.25,115377
2016-12-08,357.75,360.0,350.25,354.25,177556
2016-12-09,354.0,359.75,351.25,358.75,123101
2016-12-12,359.0,361.0,356.0,360.0,119124
2016-12-13,360.0,364.75,359.25,361.5,128396
2016-12-14,360.75,362.0,358.25,361.75,80266
2016-12-15,361.5,363.0,356.25,356.25,126324
2016-12-16,356.0,359.0,353.5,357.25,102543
2016-12-19,356.0,356.75,351.5,353.75,83008
2016-12-20,353.25,353.75,349.25,350.25,93937
2016-12-21,350.0,351.25,346.75,347.5,93326
2016-12-22,347.25,348.0,346.0,347.5,86421
2016-12-23,347.0,347.75,345.5,347.0,73262
2016-12-27,346.5,356.0,346.25,355.0,117381
2016-12-28,354.25,354.75,347.25,348.5,108944
2016-12-29,348.25,351.0,347.5,349.75,78848
2016-12-30,349.5,353.0,347.75,351.0,99748
2017-01-03,352.0,358.5,351.5,355.75,158650
2017-01-04,355.0,360.0,354.75,360.0,155129
2017-01-05,359.5,362.75,358.5,361.25,178734
2017-01-06,360.75,362.5,356.75,358.75,150425
2017-01-09,359.0,360.75,355.25,359.5,164195
2017-01-10,359.25,359.5,357.25,357.5,115352
2017-01-11,357.75,358.25,352.0,357.0,191236
2017-01-12,357.0,360.0,353.0,358.0,244933
2017-01-13,357.5,359.5,355.25,358.75,153286
2017-01-17,359.0,366.5,358.5,365.25,299063
2017-01-18,364.5,367.75,362.75,364.25,194694
2017-01-19,364.0,367.5,362.75,366.5,156063
2017-01-20,366.0,370.0,365.0,369.75,189007
2017-01-23,369.5,370.0,367.5,369.75,129800
2017-01-24,369.25,371.0,362.25,363.5,181890
2017-01-25,363.25,366.75,361.0,366.0,130743
2017-01-26,366.0,366.75,362.0,363.75,101482
2017-01-27,363.25,364.25,360.5,363.0,114628
2017-01-30,361.5,361.75,355.75,358.25,162181
2017-01-31,358.5,361.25,357.75,359.5,127130
2017-02-01,360.0,368.5,358.0,367.5,221377
2017-02-02,367.5,369.75,366.25,366.75,144008
2017-02-03,365.75,367.75,364.0,364.5,115661
2017-02-06,364.0,368.75,362.5,363.75,109510
2017-02-07,363.75,369.0,362.5,368.75,173206
2017-02-08,368.0,371.0,366.5,369.75,187849
2017-02-09,369.5,372.75,367.5,368.75,278718
2017-02-10,368.5,375.5,368.5,373.75,233899
2017-02-13,373.5,376.75,371.75,375.25,216838
2017-02-14,375.0,375.25,373.0,374.25,162429
2017-02-15,374.0,379.0,371.75,378.75,206588
2017-02-16,378.0,380.0,373.0,373.25,187972
2017-02-17,373.25,373.25,368.0,368.5,176868
2017-02-21,368.5,370.75,366.5,369.75,160749
2017-02-22,369.25,372.75,369.25,370.5,118876
2017-02-23,370.5,371.75,365.25,365.5,151678
2017-02-24,365.75,366.75,362.5,364.5,181299
2017-02-27,371.0,372.5,367.25,369.25,279339
2017-02-28,368.75,386.25,368.5,373.0,354124
2017-03-01,373.0,382.25,372.25,382.0,162290
2017-03-02,381.5,382.25,376.75,378.5,134191
2017-03-03,378.0,381.75,377.5,380.75,106539
2017-03-06,380.5,383.0,376.5,378.5,127598
2017-03-07,378.5,379.75,373.25,376.0,143248
2017-03-08,376.0,376.5,371.75,372.75,115432
2017-03-09,372.75,374.0,366.0,367.0,190099
2017-03-10,367.25,367.75,362.5,364.75,163724
2017-03-13,364.0,365.0,360.5,360.75,122173
2017-03-14,361.0,364.5,360.0,362.0,193371
2017-03-15,362.25,364.75,362.0,363.5,97599
2017-03-16,363.5,367.0,363.5,366.25,102119
2017-03-17,366.25,367.75,364.5,367.75,82555
2017-03-20,369.0,370.75,363.0,363.25,134208
2017-03-21,363.5,364.0,359.25,361.25,143182
2017-03-22,361.25,361.75,358.25,358.25,125392
2017-03-23,358.5,359.75,356.25,356.5,115146
2017-03-24,357.0,358.0,355.25,355.75,101079
2017-03-27,356.75,358.25,354.25,356.25,131393
2017-03-28,356.0,358.75,355.75,357.25,105630
2017-03-29,357.25,360.75,356.5,358.0,125610
2017-03-30,358.25,358.75,356.75,357.75,89553
2017-03-31,358.0,366.75,355.0,364.75,285265
2017-04-03,365.75,371.75,365.5,367.25,211917
2017-04-04,367.0,369.75,362.75,363.25,140558
2017-04-05,363.0,365.75,361.5,364.5,124454
2017-04-06,364.25,365.5,360.0,360.75,115559
2017-04-07,360.5,361.75,357.25,359.75,199899
2017-04-10,360.0,367.0,359.0,366.25,191543
2017-04-11,366.0,369.0,362.25,366.0,226984
2017-04-12,366.5,371.5,366.25,368.75,202276
2017-04-13,368.75,373.0,368.5,370.75,198863
2017-04-17,371.0,372.0,365.5,366.5,125513
2017-04-18,366.5,368.0,360.75,361.25,172124
2017-04-19,361.25,365.25,360.5,361.5,164525
2017-04-20,368.25,370.75,363.75,363.75,178174
2017-04-21,363.75,365.25,360.75,363.0,218403
2017-04-24,364.0,367.0,362.5,365.5,198024
2017-04-25,365.5,374.75,362.5,371.5,335491
2017-04-26,371.75,374.5,366.0,366.0,280053
2017-04-27,366.5,371.25,366.0,368.0,232152
2017-04-28,367.75,369.0,363.5,365.5,188762
2017-05-01,371.5,379.0,369.5,376.75,307720
2017-05-02,376.75,378.25,370.25,372.25,206107
2017-05-03,372.0,375.75,370.0,374.5,155326
2017-05-04,374.25,376.0,366.0,367.25,212440
2017-05-05,367.5,373.75,366.75,371.5,178660
2017-05-08,369.25,371.25,365.0,366.5,147234
2017-05-09,366.0,369.5,365.75,367.0,130876
2017-05-10,366.5,374.0,366.0,373.0,241849
2017-05-11,373.0,373.75,368.75,369.25,124928
2017-05-12,369.25,371.5,368.0,371.25,87341
2017-05-15,370.5,371.75,367.25,367.5,109353
2017-05-16,367.25,368.75,365.25,367.0,104377
2017-05-17,367.0,372.25,366.25,371.75,133085
2017-05-18,371.5,371.5,364.25,365.75,184713
2017-05-19,366.0,373.0,366.0,372.25,190604
2017-05-22,372.75,377.5,371.75,375.25,159786
2017-05-23,374.75,375.75,369.0,370.0,168280
2017-05-24,370.0,371.5,368.75,370.5,90276
2017-05-25,371.0,373.0,368.75,369.25,99871
2017-05-26,369.25,374.75,368.75,373.75,113508
2017-05-30,373.5,373.75,366.25,366.75,190405
2017-05-31,370.25,376.5,369.0,371.5,243760
2017-06-01,371.5,373.75,367.5,370.75,161024
2017-06-02,370.5,374.75,369.5,372.0,114081
2017-06-05,373.75,375.5,372.0,373.0,176356
2017-06-06,372.0,379.75,371.25,378.5,238289
2017-06-07,378.25,387.0,378.25,385.0,482660
2017-06-08,385.0,391.75,384.25,384.25,369166
2017-06-09,384.25,389.5,380.75,388.0,240586
2017-06-12,386.0,387.25,376.25,376.75,333135
2017-06-13,379.25,383.75,377.5,381.25,213047
2017-06-14,381.0,385.0,376.75,376.75,183900
2017-06-15,376.75,382.0,370.0,378.25,253445
2017-06-16,378.75,384.5,377.0,384.25,194053
2017-06-19,378.25,381.5,375.25,375.5,215498
2017-06-20,376.25,377.5,369.25,369.5,182300
2017-06-21,369.5,373.5,368.25,369.5,143466
2017-06-22,368.75,369.25,362.5,362.75,161284
2017-06-23,362.75,364.75,356.5,359.0,224281
2017-06-26,358.5,361.75,357.25,360.0,184341
2017-06-27,361.25,364.25,359.25,359.25,188447
2017-06-28,368.25,369.0,366.0,366.5,214378
2017-06-29,366.25,372.0,365.75,369.25,231120
2017-06-30,370.0,383.0,369.5,380.0,254967
2017-07-03,384.0,396.0,383.25,385.0,185528
2017-07-05,390.0,394.25,385.25,392.25,169799
2017-07-06,390.25,391.5,382.0,391.0,157781
2017-07-07,389.5,397.0,388.25,391.75,167381
2017-07-10,397.0,402.5,396.5,402.25,212290
2017-07-11,403.0,404.75,394.5,401.0,161751
2017-07-12,400.0,400.75,384.5,385.5,195334
